"title","subtitle","title_kana","artist","artist_kana","request_number","lyrics_start","original_key","remarks1","remarks1_kana","remarks2","remarks2_kana","model_code","genre_code","type_code","release_year","parent_song_id","artist_id","lite"
"CHA-LA HEAD-CHA-LA","サブタイトルサブタイトルサブタイトルサブタイトル","ﾁｬﾗﾍｯﾁｬﾗ","影山ヒロノブ","ｶｹﾞﾔﾏﾋﾛﾉﾌﾞ","8300-11","光る雲を突き抜け","-","nan","nan","nan","nan","830","01","01","2020","S37466","A23541","0"
"DESIRE","サブタイトルサブタイトルサブタイトルサブタイトル","ﾃﾞｻﾞｲｱ","中森明菜","ﾅｶﾓﾘｱｷﾅ","8300-12","Getup Getup Getup","-","nan","nan","nan","nan","830","01","01","2020","S42684","A71979","0"
"Diamonds","サブタイトルサブタイトルサブタイトルサブタイトル","ﾀﾞｲｱﾓﾝﾄﾞ","PRINCESS PRINCESS","ﾌﾟﾘﾝｾｽﾌﾟﾘﾝｾｽ","8300-13","冷たい泉に素足をひたして","-","nan","nan","nan","nan","830","01","01","2020","S34296","A33936","0"
"Everything","サブタイトルサブタイトルサブタイトルサブタイトル","ｴﾌﾞﾘｼﾝｸﾞ","MISIA","ﾐｰｼｬ","8300-14","すれ違う時の中で","-","nan","nan","nan","nan","830","01","01","2020","S86340","A61982","0"
"ｆｆ（フォルティシモ）","サブタイトルサブタイトルサブタイトルサブタイトル","ﾌｫﾙﾃｨｯｼﾓ","ハウンド・ドッグ","ﾊｳﾝﾄﾞﾄﾞｯｸﾞ","8300-15","おまえの涙も","-","nan","nan","nan","nan","830","01","01","2020","S27355","A43119","0"
"FirstLove","サブタイトルサブタイトルサブタイトルサブタイトル","ﾌｧｰｽﾄﾗﾌﾞ","宇多田ヒカル","ｳﾀﾀﾞﾋｶﾙ","8300-16","最後のキスは","-","nan","nan","nan","nan","830","01","01","2020","S36737","A57025","0"
"fragile","サブタイトルサブタイトルサブタイトルサブタイトル","ﾌﾗｼﾞｰﾙ","Every Little Thing","ｴﾌﾞﾘﾘﾄﾙｼﾝｸﾞ","8300-17","いつもそう単純で","-","nan","nan","nan","nan","830","01","01","2020","S45149","A91660","0"
"Get Wild","サブタイトルサブタイトルサブタイトルサブタイトル","ｹﾞｯﾄﾜｲﾙﾄﾞ","TM NETWORK","ﾃｨｰｴﾑﾈｯﾄﾜｰｸ","8300-18","アスファルトタイヤを","-","nan","nan","nan","nan","830","01","01","2020","S32741","A98187","0"
"GOLEDFINGER’99","サブタイトルサブタイトルサブタイトルサブタイトル","ｺﾞｰﾙﾄﾞﾌｨﾝｶﾞｰ","郷ひろみ","ｺﾞｳﾋﾛﾐ","8300-19","不埒なリズムで","-","nan","nan","nan","nan","830","01","01","2020","S83706","A38018","0"
"Groovy!","サブタイトルサブタイトルサブタイトルサブタイトル","ｸﾞﾙｰﾋﾞｰ","広瀬香美","ﾋﾛｾｺｳﾐ","8300-20","街に出かけよう","-","nan","nan","nan","nan","830","01","01","2020","S27850","A27490","0"
"HOT LIMIT","サブタイトルサブタイトルサブタイトルサブタイトル","ﾎｯﾄﾘﾐｯﾄ","T.M.Revolution","ﾃｨｰｴﾑﾚﾎﾞﾘｭｰｼｮﾝ","8300-21","YO!SAY,夏が胸を","-","nan","nan","nan","nan","830","01","01","2020","S34524","A40812","0"
"HOWEVER","サブタイトルサブタイトルサブタイトルサブタイトル","ﾊｳｴﾊﾞｰ","GLAY","ｸﾞﾚｲ","8300-22","柔らかな風が吹く","-","nan","nan","nan","nan","830","01","01","2020","S28903","A66044","0"
"I BELIEVE","サブタイトルサブタイトルサブタイトルサブタイトル","ｱｲﾋﾞﾘｰﾌﾞ","華原朋美","ｶﾊﾗﾄﾓﾐ","8300-23","輝く白い恋の始まりは","-","nan","nan","nan","nan","830","01","01","2020","S72410","A14881","0"
"I LOVE YOU","サブタイトルサブタイトルサブタイトルサブタイトル","ｱｲﾗﾌﾞﾕｰ","尾崎豊","ｵｻﾞｷﾕﾀｶ","8300-24","I LOVE YOU今だけは","-","nan","nan","nan","nan","830","01","01","2020","S96109","A59929","0"
"if…","サブタイトルサブタイトルサブタイトルサブタイトル","ｲﾌ","DA PUMP","ﾀﾞﾊﾟﾝﾌﾟ","8300-25","高鳴る鼓動は夕暮れの","-","nan","nan","nan","nan","830","01","01","2020","S56095","A39648","0"
"KISS OF LIFE","サブタイトルサブタイトルサブタイトルサブタイトル","ｷｽｵﾌﾞﾗｲﾌ","平井堅","ﾋﾗｲｹﾝ","8300-26","every day,every night,","-","nan","nan","nan","nan","830","01","01","2020","S84587","A69647","0"
"LOVEマシーン","サブタイトルサブタイトルサブタイトルサブタイトル","ﾗﾌﾞﾏｼｰﾝ","モーニング娘。","ﾓｰﾆﾝｸﾞﾑｽﾒ","8300-27","あんたにゃもったいない","-","nan","nan","nan","nan","830","01","01","2020","S65064","A34966","0"
"MUGO・ん…色っぽい","サブタイトルサブタイトルサブタイトルサブタイトル","ﾑｺﾞﾝｲﾛｯﾎﾟｲ","工藤静香","ｸﾄﾞｳｼｽﾞｶ","8300-28","言えないのよ言えないのよ","-","nan","nan","nan","nan","830","01","01","2020","S89431","A76842","0"
"my graduation","サブタイトルサブタイトルサブタイトルサブタイトル","ﾏｲｸﾞﾗｼﾞｭｴｲｼｮﾝ","SPEED","ｽﾋﾟｰﾄﾞ","8300-29","あなたと出逢えてよかった","-","nan","nan","nan","nan","830","01","01","2020","S71739","A59782","0"
"M","サブタイトルサブタイトルサブタイトルサブタイトル","ｴﾑ","PRINCESS PRINCESS","ﾌﾟﾘﾝｾｽﾌﾟﾘﾝｾｽ","8300-30","いつも一緒にいたかった","-","nan","nan","nan","nan","830","01","01","2020","S19303","A46415","0"
"M","サブタイトルサブタイトルサブタイトルサブタイトル","ｴﾑ","浜崎あゆみ","ﾊﾏｻｷｱﾕﾐ","8300-31","MARIA'愛すべき人が","-","nan","nan","nan","nan","830","01","01","2020","S65832","A13974","0"
"One more time,One more chance","サブタイトルサブタイトルサブタイトルサブタイトル","ﾜﾝﾓｱﾀｲﾑﾜﾝﾓｱﾁｬﾝｽ","山崎まさよし","ﾔﾏｻﾞｷﾏｻﾖｼ","8300-32","これ以上何を失えば","-","nan","nan","nan","nan","830","01","01","2020","S37972","A25008","0"
"Only you","サブタイトルサブタイトルサブタイトルサブタイトル","ｵﾝﾘｰﾕｰ","The Platters","ﾌﾟﾗﾀｰｽﾞ","8300-33","Only you can do make","-","nan","nan","nan","nan","830","01","01","2020","S81493","A85036","0"
"PRIDE","サブタイトルサブタイトルサブタイトルサブタイトル","ﾌﾟﾗｲﾄﾞ","今井美樹","ｲﾏｲﾐｷ","8300-34","私は今 南の一つ星を","-","nan","nan","nan","nan","830","01","01","2020","S25537","A17820","0"
"promise","サブタイトルサブタイトルサブタイトルサブタイトル","ﾌﾟﾛﾐｽ","広瀬香美","ﾋﾛｾｺｳﾐ","8300-35","恋の始まりも夢の続きも","-","nan","nan","nan","nan","830","01","01","2020","S45313","A99185","0"
"Romanticが止まらない","サブタイトルサブタイトルサブタイトルサブタイトル","ﾛﾏﾝﾃｨｯｸｶﾞﾄﾏﾗﾅｲ","C-C-B","ｼｰｼｰﾋﾞｰ","8300-36","長いキスの途中で","-","nan","nan","nan","nan","830","01","01","2020","S31983","A77015","0"
"Runner","サブタイトルサブタイトルサブタイトルサブタイトル","ﾗﾝﾅｰ","爆風スランプ","ﾊﾞｸﾌｳｽﾗﾝﾌﾟ","8300-37","雨を避けたロッカールームで","-","nan","nan","nan","nan","830","01","01","2020","S65258","A85656","0"
"SAY YES","サブタイトルサブタイトルサブタイトルサブタイトル","ｾｲｲｴｽ","CHAGE＆ASKA","ﾁｬｹﾞｱﾝﾄﾞｱｽｶ","8300-38","余計な物など無いよね","-","nan","nan","nan","nan","830","01","01","2020","S67455","A96649","0"
"SHAKE","サブタイトルサブタイトルサブタイトルサブタイトル","ｼｪｲｸ","SMAP","ｽﾏｯﾌﾟ","8300-39",""きょう会わない?""って","-","nan","nan","nan","nan","830","01","01","2020","S16528","A19144","0"
"Take Me Home, Country Roads","サブタイトルサブタイトルサブタイトルサブタイトル","ﾃｲｸﾐｰﾎｰﾑｶﾝﾄﾘｰﾛｰﾄﾞ","John Denver","ｼﾞｮﾝﾃﾞﾝﾊﾞｰ","8300-40","Almost heaven,","-","nan","nan","nan","nan","830","01","01","2020","S77545","A19548","0"
"Time goes by","サブタイトルサブタイトルサブタイトルサブタイトル","ﾀｲﾑｺﾞｰｽﾞﾊﾞｲ","Every Little Thing","ｴﾌﾞﾘﾘﾄﾙｼﾝｸﾞ","8300-41","きっときっと誰もが","-","nan","nan","nan","nan","830","01","01","2020","S85228","A12894","0"
"TSUNAMI","サブタイトルサブタイトルサブタイトルサブタイトル","ﾂﾅﾐ","サザンオールスターズ","ｻｻﾞﾝｵｰﾙｽﾀｰｽﾞ","8300-42","風に戸惑う弱気な僕","-","nan","nan","nan","nan","830","01","01","2020","S16184","A97134","0"
"UFO","サブタイトルサブタイトルサブタイトルサブタイトル","ﾕｰﾌｫｰ","ピンク・レディー","ﾋﾟﾝｸﾚﾃﾞｨｰ","8300-43","手を合わせて見つめるだけで","-","nan","nan","nan","nan","830","01","01","2020","S85253","A44861","0"
"ultra soul","サブタイトルサブタイトルサブタイトルサブタイトル","ｳﾙﾄﾗｿｳﾙ","B'z","ﾋﾞｰｽﾞ","8300-44","どれだけがんばりゃいい","-","nan","nan","nan","nan","830","01","01","2020","S82965","A21901","0"
"WeAreTheWorld","サブタイトルサブタイトルサブタイトルサブタイトル","ｳｨｰｱｰｻﾞﾜｰﾙﾄﾞ","USA for AFRICA","ﾕｰｴｽｴｰﾌｫｰｱﾌﾘｶ","8300-45","There comes a time","-","nan","nan","nan","nan","830","01","01","2020","S25815","A91528","0"
"WhiteLove","サブタイトルサブタイトルサブタイトルサブタイトル","ﾎﾜｲﾄﾗﾌﾞ","SPEED","ｽﾋﾟｰﾄﾞ","8300-46","果てしないあの雲の彼方へ","-","nan","nan","nan","nan","830","01","01","2020","S87130","A28723","0"
"YAH YAH YAH","サブタイトルサブタイトルサブタイトルサブタイトル","ﾔｰﾔｰﾔｰ","CHAGE＆ASKA","ﾁｬｹﾞｱﾝﾄﾞｱｽｶ","8300-47","必ず手に入れたいものは","-","nan","nan","nan","nan","830","01","01","2020","S24393","A69462","0"
"アゲハ蝶","サブタイトルサブタイトルサブタイトルサブタイトル","ｱｹﾞﾊﾁｮｳ","ポルノグラフィティ","ﾎﾟﾙﾉｸﾞﾗﾌｨﾃｨ","8300-48","ヒラリヒラリと舞い遊ぶように","-","nan","nan","nan","nan","830","01","01","2020","S53326","A22658","0"
"あなたのキスを数えましょう-You were mine-","サブタイトルサブタイトルサブタイトルサブタイトル","ｱﾅﾀﾉｷｽｦｶｿﾞｴﾏｼｮｳﾕｰｳｪｱﾏｲﾝ","小柳ゆき","ｺﾔﾅｷﾞﾕｷ","8300-49","散らかった床の上","-","nan","nan","nan","nan","830","01","01","2020","S14260","A18548","0"
"あの鐘を鳴らすのはあなた","サブタイトルサブタイトルサブタイトルサブタイトル","ｱﾉｶﾈｦﾅﾗｽﾉﾊｱﾅﾀ","和田アキ子","ﾜﾀﾞｱｷｺ","8300-50","あなたに逢えてよかった","-","nan","nan","nan","nan","830","01","01","2020","S81375","A20826","0"
"あの素晴らしい愛をもう一度","サブタイトルサブタイトルサブタイトルサブタイトル","ｱﾉｽﾊﾞﾗｼｲｱｲｦﾓｳｲﾁﾄﾞ","加藤和彦/北山修","ｶﾄｳｶｽﾞﾋｺｷﾀﾔﾏｵｻﾑ","8300-51","命かけてと誓った日から","-","nan","nan","nan","nan","830","01","01","2020","S41039","A57442","0"
"アポロ","サブタイトルサブタイトルサブタイトルサブタイトル","ｱﾎﾟﾛ","ポルノグラフィティ","ﾎﾟﾙﾉｸﾞﾗﾌｨﾃｨ","8300-52","僕らの生まれてくる","-","nan","nan","nan","nan","830","01","01","2020","S16242","A58504","0"
"いい日旅立ち","サブタイトルサブタイトルサブタイトルサブタイトル","ｲｲﾋﾀﾋﾞﾀﾞﾁ","山口百恵","ﾔﾏｸﾞﾁﾓﾓｴ","8300-53","雪解け間近の北の空に向い","-","nan","nan","nan","nan","830","01","01","2020","S81957","A12034","0"
"いつも何度でも","サブタイトルサブタイトルサブタイトルサブタイトル","ｲﾂﾓﾅﾝﾄﾞﾃﾞﾓ","木村弓","ｷﾑﾗﾕﾐ","8300-54","呼んでいる胸のどこか奥で","-","nan","nan","nan","nan","830","01","01","2020","S62936","A72172","0"
"いとしのエリー","サブタイトルサブタイトルサブタイトルサブタイトル","ｲﾄｼﾉｴﾘｰ","サザンオールスターズ","ｻｻﾞﾝｵｰﾙｽﾀｰｽﾞ","8300-55","泣かした事もある","-","nan","nan","nan","nan","830","01","01","2020","S41980","A37214","0"
"innocent world","サブタイトルサブタイトルサブタイトルサブタイトル","ｲﾉｾﾝﾄﾜｰﾙﾄﾞ","Mr.Children","ﾐｽﾀｰﾁﾙﾄﾞﾚﾝ","8300-56","黄昏の街を背に","-","nan","nan","nan","nan","830","01","01","2020","S83729","A23685","0"
"うれしい！たのしい！大好き！","サブタイトルサブタイトルサブタイトルサブタイトル","ｳﾚｼｲﾀﾉｼｲﾀﾞｲｽｷ","DREAMS COME TURE","ﾄﾞﾘｰﾑｽﾞｶﾑﾄｩﾙｰ","8300-57","初めて会った時から","-","nan","nan","nan","nan","830","01","01","2020","S78655","A13854","0"
"おどるポンポコリン","サブタイトルサブタイトルサブタイトルサブタイトル","ｵﾄﾞﾙﾎﾟﾝﾎﾟｺﾘﾝ","B.B.クイーンズ","ﾋﾞｰﾋﾞｰｸｲｰﾝｽﾞ","8300-58","なんでもかんでもみんな","-","nan","nan","nan","nan","830","01","01","2020","S15036","A14074","0"
"オラはにんきもの","サブタイトルサブタイトルサブタイトルサブタイトル","ｵﾗﾊﾆﾝｷﾓﾉ","のはらしんのすけ","ﾉﾊﾗｼﾝﾉｽｹ","8300-59","ぞうさんぞうさんオラはにんきもの","-","nan","nan","nan","nan","830","01","01","2020","S78899","A59871","0"
"お祭りマンボ","サブタイトルサブタイトルサブタイトルサブタイトル","ｵﾏﾂﾘﾏﾝﾎﾞ","美空ひばり","ﾐｿﾗﾋﾊﾞﾘ","8300-60","私のとなりのおじさんは","-","nan","nan","nan","nan","830","01","01","2020","S30438","A95260","0"
"ガッツだぜ！！","サブタイトルサブタイトルサブタイトルサブタイトル","ｶﾞｯﾂﾀﾞｾﾞ","ウルフルズ","ｳﾙﾌﾙｽﾞ","8300-61","ガッツだぜパワフル魂","-","nan","nan","nan","nan","830","01","01","2020","S58039","A33027","0"
"かもめが飛んだ日","サブタイトルサブタイトルサブタイトルサブタイトル","ｶﾓﾒｶﾞﾄﾝﾀﾞﾋ","渡辺真知子","ﾜﾀﾅﾍﾞﾏﾁｺ","8300-62","ハーバーライトが朝日に変る","-","nan","nan","nan","nan","830","01","01","2020","S88615","A41000","0"
"ギザギザハートの子守唄","サブタイトルサブタイトルサブタイトルサブタイトル","ｷﾞｻﾞｷﾞｻﾞﾊｰﾄﾉｺﾓﾘｳﾀ","チェッカーズ","ﾁｪｯｶｰｽﾞ","8300-63","ちっちゃな頃から悪ガキで","-","nan","nan","nan","nan","830","01","01","2020","S28957","A57766","0"
"ギブス","サブタイトルサブタイトルサブタイトルサブタイトル","ｷﾞﾌﾞｽ","椎名林檎","ｼｲﾅﾘﾝｺﾞ","8300-64","あなたはすぐに写真を撮りたがる","-","nan","nan","nan","nan","830","01","01","2020","S91593","A93070","0"
"CAT'S EYE(new version)","サブタイトルサブタイトルサブタイトルサブタイトル","ｷｬｯﾂｱｲﾆｭｰﾊﾞｰｼﾞｮﾝ","杏里","ｱﾝﾘ","8300-65","都会はきらめくpassion fruit","-","nan","nan","nan","nan","830","01","01","2020","S95605","A66296","0"
"ギャランドゥ","サブタイトルサブタイトルサブタイトルサブタイトル","ｷﾞｬﾗﾝﾄﾞｩ","西城秀樹","ｻｲｼﾞｮｳﾋﾃﾞｷ","8300-66","ギャランドゥ ギャランドゥ","-","nan","nan","nan","nan","830","01","01","2020","S77824","A98694","0"
"キューティーハニー","サブタイトルサブタイトルサブタイトルサブタイトル","ｷｭｰﾃｨｰﾊﾆｰ","前川陽子","ﾏｴｶﾜﾖｳｺ","8300-67","この頃はやりの女の子","-","nan","nan","nan","nan","830","01","01","2020","S77384","A15413","0"
"きよしのズンドコ節","サブタイトルサブタイトルサブタイトルサブタイトル","ﾋｶﾜｷﾖｼﾉｽﾞﾝﾄﾞｺﾌﾞｼ","氷川きよし","ﾋｶﾜｷﾖｼ","8300-68","風に吹かれて花が散る","-","nan","nan","nan","nan","830","01","01","2020","S21571","A31311","0"
"キン肉マンGo Fight！","サブタイトルサブタイトルサブタイトルサブタイトル","ｷﾝﾆｸﾏﾝｺﾞｰﾌｧｲﾄ","串田アキラ","ｸｼﾀﾞｱｷﾗ","8300-69","Go！Go！Muscle！","-","nan","nan","nan","nan","830","01","01","2020","S93010","A91612","0"
"クリスマス・イヴ","サブタイトルサブタイトルサブタイトルサブタイトル","ｸﾘｽﾏｽｲﾌﾞ","山下達郎","ﾔﾏｼﾀﾀﾂﾛｳ","8300-70","雨は夜更け過ぎに","-","nan","nan","nan","nan","830","01","01","2020","S90529","A85787","0"
"クリスマスキャロルの頃には","サブタイトルサブタイトルサブタイトルサブタイトル","ｸﾘｽﾏｽｷｬﾛﾙﾉｺﾛﾆﾊ","稲垣潤一","ｲﾅｶﾞｷｼﾞｭﾝｲﾁ","8300-71","クリスマスキャロルの流れる頃には","-","nan","nan","nan","nan","830","01","01","2020","S14529","A38788","0"
"ゲゲゲの鬼太郎","サブタイトルサブタイトルサブタイトルサブタイトル","ｹﾞｹﾞｹﾞﾉｷﾀﾛｳ","熊倉一雄","ｸﾏｸﾗｶｽﾞｵ","8300-72","ゲッゲッゲゲゲのゲー","-","nan","nan","nan","nan","830","01","01","2020","S54919","A45034","0"
"ゲレンデがとけるほど恋したい","サブタイトルサブタイトルサブタイトルサブタイトル","ｹﾞﾚﾝﾃﾞｶﾞﾄｹﾙﾎﾄﾞｺｲｼﾀｲ","広瀬香美","ﾋﾛｾｺｳﾐ","8300-73","あなたとネ今日がチャンスネ","-","nan","nan","nan","nan","830","01","01","2020","S86437","A34182","0"
"ここでキスして。","サブタイトルサブタイトルサブタイトルサブタイトル","ｺｺﾃﾞｷｽｼﾃ","椎名林檎","ｼｲﾅﾘﾝｺﾞ","8300-74","I'll never be able to","-","nan","nan","nan","nan","830","01","01","2020","S39467","A58087","0"
"この愛に泳ぎ疲れても","サブタイトルサブタイトルサブタイトルサブタイトル","ｺﾉｱｲﾆｵﾖｷﾞﾂｶﾚﾃﾓ","ZARD","ｻﾞｰﾄﾞ","8300-75","この愛に泳ぎ疲れても","-","nan","nan","nan","nan","830","01","01","2020","S48201","A20291","0"
"この広い野原いっぱい","サブタイトルサブタイトルサブタイトルサブタイトル","ｺﾉﾋﾛｲﾉﾊﾗｲｯﾊﾟｲ","森山良子","ﾓﾘﾔﾏﾘｮｳｺ","8300-76","この広い野原いっぱい","-","nan","nan","nan","nan","830","01","01","2020","S80157","A59838","0"
"サウスポー","サブタイトルサブタイトルサブタイトルサブタイトル","ｻｳｽﾎﾟｰ","ピンク・レディー","ﾋﾟﾝｸﾚﾃﾞｨｰ","8300-77","背番号１のすごいやつが相手","-","nan","nan","nan","nan","830","01","01","2020","S90993","A52690","0"
"サウダージ","サブタイトルサブタイトルサブタイトルサブタイトル","ｻｳﾀﾞｰｼﾞ","ポルノグラフィティ","ﾎﾟﾙﾉｸﾞﾗﾌｨﾃｨ","8300-78","私は私をはぐれる訳には","-","nan","nan","nan","nan","830","01","01","2020","S61786","A26793","0"
"サザエさん","サブタイトルサブタイトルサブタイトルサブタイトル","ｻｻﾞｴｻﾝ","宇野ゆう子","ｳﾉﾕｳｺ","8300-79","お魚くわえたドラ猫","-","nan","nan","nan","nan","830","01","01","2020","S95091","A70007","0"
"さそり座の女","サブタイトルサブタイトルサブタイトルサブタイトル","ｻｿﾘｻﾞﾉｵﾝﾅ","美川憲一","ﾐｶﾜｹﾝｲﾁ","8300-80","いいえ私はさそり座の女","-","nan","nan","nan","nan","830","01","01","2020","S93651","A84918","0"
"さよならの向う側","サブタイトルサブタイトルサブタイトルサブタイトル","ｻﾖﾅﾗﾉﾑｺｳｶﾞﾜ","山口百恵","ﾔﾏｸﾞﾁﾓﾓｴ","8300-81","何億光年輝く星にも","-","nan","nan","nan","nan","830","01","01","2020","S52597","A56246","0"
"サライ","サブタイトルサブタイトルサブタイトルサブタイトル","ｻﾗｲ","加山雄三/谷村新司","ｶﾔﾏﾕｳｿﾞｳﾀﾆﾑﾗｼﾝｼﾞ","8300-82","遠い夢すてきれずに","-","nan","nan","nan","nan","830","01","01","2020","S92725","A90789","0"
"さんぽ","サブタイトルサブタイトルサブタイトルサブタイトル","ｻﾝﾎﾟ","井上あずみ/杉並児童合唱団","ｲﾉｳｴｱｽﾞﾐｽｷﾞﾅﾐｼﾞﾄﾞｳｶﾞｯｼｮｳﾀﾞﾝ","8300-83","あるこうあるこう","-","nan","nan","nan","nan","830","01","01","2020","S15890","A76783","0"
"シクラメンのかほり","サブタイトルサブタイトルサブタイトルサブタイトル","ｼｸﾗﾒﾝﾉｶｵﾘ","布施明","ﾌｾｱｷﾗ","8300-84","真綿色したシクラメンほど","-","nan","nan","nan","nan","830","01","01","2020","S62158","A23572","0"
"ジュリアに傷心","サブタイトルサブタイトルサブタイトルサブタイトル","ｼﾞｭﾘｱﾆﾊｰﾄﾌﾞﾚｲｸ","チェッカーズ","ﾁｪｯｶｰｽﾞ","8300-85","ガラスのピアスに反射けて滲む","-","nan","nan","nan","nan","830","01","01","2020","S42678","A27618","0"
"Dschinghis Khan","サブタイトルサブタイトルサブタイトルサブタイトル","ｼﾞﾝｷﾞｽｶﾝ","Dschinghis Khan","ｼﾞﾝｷﾞｽｶﾝ","8300-86","Sie ritten um die","-","nan","nan","nan","nan","830","01","01","2020","S71241","A42868","0"
"シングルベッド","サブタイトルサブタイトルサブタイトルサブタイトル","ｼﾝｸﾞﾙﾍﾞｯﾄﾞ","シャ乱Q","ｼｬﾗﾝｷｭｰ","8300-87","流行の唄も歌えなくて","-","nan","nan","nan","nan","830","01","01","2020","S88379","A43193","0"
"すきま風","サブタイトルサブタイトルサブタイトルサブタイトル","ｽｷﾏｶｾﾞ","杉良太郎","ｽｷﾞﾘｮｳﾀﾛｳ","8300-88","人を愛して人はこころひらき","-","nan","nan","nan","nan","830","01","01","2020","S76228","A53941","0"
"ズルい女","サブタイトルサブタイトルサブタイトルサブタイトル","ｽﾞﾙｲｵﾝﾅ","シャ乱Q","ｼｬﾗﾝｷｭｰ","8300-89","Bye-Byeありがとう","-","nan","nan","nan","nan","830","01","01","2020","S79203","A92380","0"
"セーラー服を脱がさないで","サブタイトルサブタイトルサブタイトルサブタイトル","ｾｰﾗｰﾌｸｦﾇｶﾞｻﾅｲﾃﾞ","おニャン子クラブ","ｵﾆｬﾝｺｸﾗﾌﾞ","8300-90","セーラー服を脱がさないで","-","nan","nan","nan","nan","830","01","01","2020","S29845","A94847","0"
"センチメンタル・ジャーニー","サブタイトルサブタイトルサブタイトルサブタイトル","ｾﾝﾁﾒﾝﾀﾙｼﾞｬｰﾆｰ","松本伊代","ﾏﾂﾓﾄｲﾖ","8300-91","読み捨てられる雑誌のように","-","nan","nan","nan","nan","830","01","01","2020","S33383","A22550","0"
"そばかす","サブタイトルサブタイトルサブタイトルサブタイトル","ｿﾊﾞｶｽ","JUDY AND MARY","ｼﾞｭﾃﾞｨｱﾝﾄﾞﾏﾘｰ","8300-92","大キライだったそばかすをちょっと","-","nan","nan","nan","nan","830","01","01","2020","S79476","A85114","0"
"ダンシング・ヒーロー(Eat You Up)","サブタイトルサブタイトルサブタイトルサブタイトル","ﾀﾞﾝｼﾝｸﾞﾋｰﾛｰ","荻野目洋子","ｵｷﾞﾉﾒﾖｳｺ","8300-93","「愛してるよ…」なんて","-","nan","nan","nan","nan","830","01","01","2020","S78783","A80965","0"
"チェリー","サブタイトルサブタイトルサブタイトルサブタイトル","ﾁｪﾘｰ","スピッツ","ｽﾋﾟｯﾂ","8300-94","君を忘れない 曲がりくねった道を行く","-","nan","nan","nan","nan","830","01","01","2020","S14801","A39005","0"
